ringnr year island stage age nestling_age cohort FROH sex damringnr sireringnr first_island last_island first_year last_year first_stage first_age last_age type first_DNA_nestage Fhat2
8414501 1992 20 j 0 NA 1992 0.0245508642931733 f NA NA 20 20 1992 1998 j 0 6 capt NA 0.0167722
8414527 1992 23 j 0 NA 1992 0.00514761280209487 f NA NA 23 23 1992 1998 j 0 6 capt NA 0.0177877
8414806 1993 27 a 1 NA 1992 0.00710635642268025 m NA NA 27 27 1993 1998 a 1 6 capt NA 0.0342681
8414812 1993 28 a 1 NA 1992 0 u NA NA 28 28 1993 1999 a 1 7 capt NA -0.204719
8414501 1993 20 a 1 NA 1992 0.0245508642931733 f NA NA 20 20 1992 1998 j 0 6 capt NA 0.0167722
8573156 1993 26 n 0 7 1993 0.17862927248057 f NA NA 26 26 1993 2001 n 0 8 nest 7 0.178532
8573187 1993 26 n 0 3 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 nest 3 0.0161358
8573187 1993 26 n 0 14 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 nest 3 0.0161358
8573221 1993 26 n 0 13 1993 0 m NA NA 26 26 1993 1999 n 0 6 nest 13 0.0163975
8573281 1993 24 j 0 NA 1993 0.0196386300879583 f NA NA 24 24 1993 1999 j 0 6 capt NA 0.0203316
8573515 1993 28 n 0 8 1993 0.00338901234316211 m NA NA 28 28 1993 1998 n 0 5 nest 8 -0.00478762
8573521 1993 25 j 0 NA 1993 0.00537348881776111 m NA NA 25 23 1993 1999 j 0 6 capt NA 0.00492276
8573567 1993 20 j 0 NA 1993 0.0128655209204026 f NA NA 20 20 1993 1998 j 0 5 capt NA -0.00122818
8573156 1993 26 j 0 NA 1993 0.17862927248057 f NA NA 26 26 1993 2001 n 0 8 capt 7 0.178532
8573187 1993 26 j 0 NA 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 capt 3 0.0161358
8573221 1993 26 j 0 NA 1993 0 m NA NA 26 26 1993 1999 n 0 6 capt 13 0.0163975
8573572 1993 26 j 0 NA 1993 0.00475257045388133 m NA NA 26 26 1993 2002 j 0 9 capt NA 0.0301738
8573603 1993 27 a 1 NA 1992 0.015588876883244 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0182942
8573606 1993 27 a 1 NA 1992 0.0175325454912008 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0240999
8573608 1994 33 a 1 NA 1993 0.021319193854922 f NA NA 33 33 1994 1998 a 1 5 capt NA 0.0604416
8414501 1994 20 a 2 NA 1992 0.0245508642931733 f NA NA 20 20 1992 1998 j 0 6 capt NA 0.0167722
8573567 1994 20 a 1 NA 1993 0.0128655209204026 f NA NA 20 20 1993 1998 j 0 5 capt NA -0.00122818
8573515 1994 28 a 1 NA 1993 0.00338901234316211 m NA NA 28 28 1993 1998 n 0 5 obs 8 -0.00478762
8573156 1994 26 a 1 NA 1993 0.17862927248057 f NA NA 26 26 1993 2001 n 0 8 capt 7 0.178532
8573187 1994 26 a 1 NA 1993 0.00580025551636732 m NA NA 26 26 1993 2000 n 0 7 capt 3 0.0161358
8573221 1994 26 a 1 NA 1993 0 m NA NA 26 26 1993 1999 n 0 6 capt 13 0.0163975
8573572 1994 26 a 1 NA 1993 0.00475257045388133 m NA NA 26 26 1993 2002 j 0 9 capt NA 0.0301738
8573606 1994 27 a 2 NA 1992 0.0175325454912008 f NA NA 27 27 1993 1998 a 1 6 obs NA 0.0240999
8573603 1994 27 a 2 NA 1992 0.015588876883244 f NA NA 27 27 1993 1998 a 1 6 capt NA 0.0182942
8573682 1994 26 a 1 NA 1993 0 f NA NA 26 26 1994 1999 a 1 6 capt NA 0.0281099
8573683 1994 28 a 1 NA 1993 0.00366506289372286 f NA NA 28 28 1994 1999 a 1 6 capt NA 0.00832664
8573815 1994 24 j 0 NA 1994 0.0194998856065909 m NA NA 24 24 1994 1998 j 0 4 capt NA 0.0597715
8573752 1994 33 a 1 NA 1993 0.0103328848205609 m NA NA 33 33 1994 1998 a 1 5 capt NA 0.0401165
8573845 1994 26 n 0 8 1994 0.018661529156728 f F0290 M0264 26 26 1994 1999 n 0 5 nest 8 0.00930104
8414806 1994 27 a 2 NA 1992 0.00710635642268025 m NA NA 27 27 1993 1998 a 1 6 obs NA 0.0342681
8573845 1994 26 n 0 NA 1994 0.018661529156728 f F0290 M0264 26 26 1994 1999 n 0 5 nest 8 0.00930104
8573856 1994 26 a 1 NA 1993 0.0154664419572373 m NA NA 26 26 1994 1999 a 1 6 capt NA 0.0275842
8573864 1994 20 n 0 5 1994 0.00632955721822412 f F0283 M0259 20 20 1994 1998 n 0 4 nest 5 0.0176103
8573966 1994 27 n 0 8 1994 0.23488024935498 m F0065 M0075 27 27 1994 1999 n 0 5 nest 8 0.236172
8573872 1994 28 a 1 NA 1993 0 m NA NA 28 28 1994 1999 a 1 6 capt NA 0.0040654
8573874 1994 28 n 0 7 1994 0.0039653512557225 m NA NA 28 28 1994 1998 n 0 4 nest 7 0.0238306
